,Date,Equally-Weighted,Minimum-Variance,Maximum-Diversification,Inverse-Volatility,Equal-Risk-Contribution,HRP,HERC
0,2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-06-04,-0.0019155342532235524,0.0017670342139254284,0.0010829034833353059,-0.002506152250468715,-0.0015201033286742823,-0.0009130306436920777,0.014754489633507888
2,2007-06-05,-7.507456201883831e-05,0.005194230951140052,0.003117486493411118,0.0005219824453972997,0.0009658161333748625,0.0015662031890788441,-0.00019333144930168918
3,2007-06-06,-0.006310091808247737,-0.0007171764520710934,-0.0034860967342232934,-0.00530093044488658,-0.004760724966836009,-0.003895951661540952,-0.01211613873121524
4,2007-06-07,0.0011090472296671954,-0.0016579964308904654,0.00042292879311889314,0.000691097614790854,0.0006372745503328857,-0.0003703009199533842,-0.0020452725064364317
5,2007-06-08,-0.01776347552496447,-0.011786863104856365,-0.014097437997678213,-0.016902394208565725,-0.01668446534574238,-0.015537780608351903,-0.019685922200949408
6,2007-06-11,0.010964997135697456,0.004446237440255785,0.005422436194431117,0.010469941595310582,0.009613574148596305,0.008127375134245734,0.010743702156546046
7,2007-06-12,-0.008441839596305858,0.0009220419135906935,-0.0024379908929790606,-0.00732335301711132,-0.006317712113129389,-0.004078591369212563,-0.013648054655804091
8,2007-06-13,0.0018707048597978147,-0.0017368895136446636,-0.004057225143598295,0.001577450638827476,0.0004725802571933714,0.0001770254749961565,0.004193305543353287
9,2007-06-14,0.013659260232363874,0.0030696139835712254,0.0068848241445587125,0.012915326130777723,0.011547015377156888,0.009410121251882491,0.012174885112010992
10,2007-06-15,0.004540547288807898,0.0023370693617308248,-0.00038839278975650454,0.0043271933317605635,0.003847836400716172,0.003380935251711256,0.014906908195768918
11,2007-06-18,0.0033560076516399038,0.0038000519549962588,0.003819849140335015,0.00343022377100021,0.0037678906736391985,0.004594323023210922,0.007184846131544872
12,2007-06-19,-0.00333632260094618,-0.002665315500880945,-0.0024478613200410414,-0.0035470749373178335,-0.0033986418912234496,-0.003614688838213481,-0.0055381863631612455
13,2007-06-20,0.004869587558976468,0.005915614638933897,0.004911266505326186,0.004556071592369501,0.00473748737358797,0.005102746790760556,0.01205810027330853
14,2007-06-21,-0.007185913291641023,-0.004944840398108575,-0.005457964745840523,-0.007231951410805736,-0.006808516967889605,-0.006641184075687543,-0.0062045957351031245
15,2007-06-22,-0.008291625225687691,-0.007153426066917494,-0.006085953041536052,-0.008307326034258726,-0.008091138340351866,-0.0076850241172830985,-0.007319421128799376
16,2007-06-25,-0.02063323166412477,-0.041455992697343264,-0.024835565892441434,-0.02365630232757498,-0.02576932505714469,-0.025228250456936017,-0.03517426902140551
17,2007-06-26,-0.010502648701888209,-0.007380681819694504,-0.009281439693286282,-0.009557966821270619,-0.009263004865502593,-0.008846798537068917,-0.011793949020737148
18,2007-06-27,-0.010082876798004379,-0.013611649622746896,-0.011147061416817613,-0.010345398939021463,-0.010721257797681351,-0.011332257814836365,-0.013229057809937814
19,2007-06-28,0.004528025444658235,0.0033102589929270444,0.003330153165468271,0.00432018879269756,0.0038279920525587747,0.0036204874923280346,-0.0020386050362924393
20,2007-06-29,0.0033167986811070585,0.010922260273629688,0.008085176436037752,0.004434608054775807,0.005255230193255435,0.006994152116138457,-0.013148632445300732
21,2007-07-02,0.0002536325271331808,-0.002710493401536886,-0.007186033429101557,0.00019160836592825706,-0.0008237516071525832,-0.0003054067297023228,-0.0053475050712138514
22,2007-07-03,0.0001788138511263157,-0.002478028778967318,-0.008555060670906013,0.001002115494854616,-0.00019985533260842873,0.001099647200502501,-0.0008057699244384748
23,2007-07-04,-0.0017176283210181182,-0.0018353604840352547,0.0002274556052771728,-0.0015371252373854805,-0.0012179249831811051,-0.0007488879207388854,-0.004232744702201561
24,2007-07-05,0.00035912786616097204,0.004599842778338926,0.0034980761721323853,0.00112705546867964,0.0016867862321107148,0.0029602227667745677,0.0009118120190856158
25,2007-07-06,0.007658116183353087,0.0023419160387517677,0.0026201573008284487,0.00694158906685418,0.0060368310359617885,0.004539840629640861,0.0034804147676887657
26,2007-07-09,0.014507625356130599,0.000862967156480478,0.005741486301257719,0.013350807533121498,0.011770983948675163,0.008877260510784557,0.007563296195227973
27,2007-07-10,-0.0023600215149792037,-0.007894702220774312,-0.00891175485826642,-0.002165806144972994,-0.0031458051116643963,-0.004253630341300133,-0.0037786895655411617
28,2007-07-11,-0.0029350184534001687,-0.0012125569801143357,-0.0004635579399150955,-0.0031333948289133657,-0.0029297621851971417,-0.003026726235533989,-0.0028784561996128806
29,2007-07-12,-0.0003645514956061265,0.0011748927773459342,0.00010597348522297462,-0.00029348044130113045,-1.8196697467122089e-06,0.00022990131617503246,-0.0004632220012588422
30,2007-07-13,0.0023030809473201424,-0.0008358158273284016,0.0026795364097965207,0.0016385526618515002,0.0017354349657840453,0.0009054258841824833,-0.0007736939830891452
31,2007-07-16,0.0013976700231553487,-0.0020089551882313227,0.0005457601755096962,0.0013206789942684532,0.0010322552379414586,0.00024814275308632716,0.0035961504712179954
32,2007-07-17,-0.004480191309791462,-0.0031128766582271318,-0.0034062540404961278,-0.004235533015897551,-0.004201017108425222,-0.003826767224527042,-0.004895730706846334
33,2007-07-18,-0.005760303051128495,-0.004880021275248154,-0.00626431824676038,-0.005674160438343327,-0.005890276799359491,-0.005971164067753488,-0.007168881548304193
34,2007-07-19,0.002975487630212834,-0.001677276733098334,-0.0028104086398005102,0.00273613557704147,0.0018444168753112657,0.000977033056267319,0.00269560581387071
