,Date,Equally-Weighted,Minimum-Variance,Maximum-Diversification,Inverse-Volatility,Equal-Risk-Contribution,HRP,HERC
0,2007-06-01,0.0032069830570252227,-0.003242031788708831,-0.0016436185176197339,0.002664410962174171,0.0013876981103900024,0.001534974534810117,0.004878274656484831
1,2007-06-04,-0.006194753044411885,-0.00537429216331345,-0.00309383057086658,-0.006593671188406935,-0.004697316633114825,-0.005004432267430947,-0.013801502624052225
2,2007-06-05,0.002713927551601791,0.004742136351267523,0.0065696869979499665,0.0019047087539164952,0.002898428174250563,0.003565103288434523,-0.0032956641315968213
3,2007-06-06,-0.005282159270378773,-0.00565992214801377,-0.007916266937405086,-0.004356849189319622,-0.004522397721665154,-0.004160402448386873,-0.004464630530346534
4,2007-06-07,0.0007296570892095089,-0.0002328709147622569,-0.0002140313135519117,-3.8824603279084016e-05,-0.0002567875247899024,0.0002992806835681779,0.0007129474173044202
5,2007-06-08,-0.01653753281685212,-0.006428593454193381,-0.012108864413053417,-0.015039007544006461,-0.015371160771621914,-0.011373322671029239,-0.01814996512137692
6,2007-06-11,0.007506395789237814,-0.005681776474926176,-0.004248211652071704,0.006744759316070551,0.0048667716469249465,0.0016161000209257456,0.011399413547332954
7,2007-06-12,-0.005274835539667679,0.0015121435780045761,-0.0005020570618864796,-0.003931138877683539,-0.0033233581516136416,-0.0005758896164077863,-0.00674823801813748
8,2007-06-13,-0.001063544303588639,-0.004827833069137992,-0.0026460876560274915,-0.0015154430020392958,-0.0016309858604977114,-0.0021341335146857075,-0.002896826672447412
9,2007-06-14,0.008463924054196869,0.0019841919767863933,0.004683391229880841,0.007188357513064363,0.006116275901008554,0.0038652284655665355,0.011702470500364723
10,2007-06-15,0.006968083621143586,-0.0008713354555484941,0.004268570275231851,0.0052381243650731395,0.006311797444841054,0.0039788767553791795,0.001902564409171482
11,2007-06-18,0.0030834165043579433,-0.002855905537052708,-0.0008496309826605102,0.0030794540583305584,0.002982087210725419,0.00023459017220812668,0.004835540280249415
12,2007-06-19,-0.0035147350012969137,-0.0013562498743154377,-0.0015822063937531486,-0.0030013808007941715,-0.003020396146764313,-0.0017054917412350835,-0.00493501100729806
13,2007-06-20,0.004954070050161421,0.0021301655301516204,0.0022469722933098502,0.004982547127537113,0.004980324617410881,0.004561665166808663,0.004334477061101385
14,2007-06-21,-0.00345839439111352,0.0005384218223710422,0.0012586638621286822,-0.004660473866125014,-0.0037504072370036917,-0.0025419811634732285,-0.006891103522388629
15,2007-06-22,-0.005865822292973194,-0.0014725572239995047,-0.004503110373881888,-0.005725598942542619,-0.005347354983967743,-0.004042712492039573,-0.006544720656794945
16,2007-06-25,-0.011190920283999577,-0.010326562187816463,-0.004467955309413854,-0.011681244669870394,-0.0111406275722614,-0.01386184359763445,-0.007536807228808914
17,2007-06-26,-0.007894276673720843,-0.003999824119554843,-0.0054338560426096605,-0.007850330571636756,-0.0076040571515578305,-0.005568426101176695,-0.01073801363747933
18,2007-06-27,-0.011379069548160042,-0.008318226872728228,-0.00970099400808509,-0.01054897710844353,-0.010547826819590031,-0.009777094607276434,-0.011229810438788361
19,2007-06-28,0.0041013729098942475,0.0033127430224411196,0.0037644844148572065,0.004055909909401496,0.004050632322703472,0.0032725354104850795,0.004481289291222015
20,2007-06-29,0.004978847332327722,0.00712786245790593,0.0038708799543084047,0.0059993370130136045,0.005503713643255294,0.00611631264183084,0.008219136839975763
21,2007-07-02,0.0007310861683005609,-0.004089354060378949,-0.0017582201564853388,9.712871380516222e-05,-0.00047456974182258946,-0.001086404879009162,-0.000343392441602933
22,2007-07-03,0.0024967507919988643,-0.008612585686992682,-0.004746995557628175,0.0030681332965127313,0.0025926414515555253,-0.0026623986624842765,0.0073973279690744435
23,2007-07-04,6.3252840637621735e-06,-0.001070391568233669,-0.0006843595681570912,4.224690090148527e-05,-0.00019087812222664643,-0.0005551811824038834,0.0006012445145084519
24,2007-07-05,0.0007004675996267429,0.00630319319556393,0.004062074180525153,0.0008012639309007812,0.0014498908146503861,0.0030443131213991484,-0.0023578340137238455
25,2007-07-06,0.004280338375598367,0.0008646137053678008,0.000439600910478524,0.004686164180941462,0.003849695313130816,0.0027189201821713072,0.0053996389547517456
26,2007-07-09,-0.0033184104533892787,0.0003617264641836445,0.0034980142953714927,-0.005480972805469927,-0.0020755987311395344,-0.002607976810316376,-0.015212248496170498
27,2007-07-10,-0.0030592578749058874,-0.0020337967479838862,-0.004614481749285603,-0.002082585539637453,-0.0026658001218111964,-0.002927340589017307,0.0001585565325070208
28,2007-07-11,-0.0016631945711034837,-1.1274324521590524e-05,0.0019275072026094017,-0.002629424385370888,-0.0016266088403840276,-0.001424436517397238,-0.004191450418953586
29,2007-07-12,0.002015403207576029,0.0033040032674377454,0.002375581889267878,0.0026600867580372,0.0028753178175171,0.002601348538451839,0.0029658224816918478
30,2007-07-13,0.002740970055347198,0.007438810812261756,0.007144122240512229,0.002382152419972545,0.002151483133527213,0.004847310728512624,0.00036610037333753396
31,2007-07-16,0.0010595665265584677,-0.003231113365696581,-0.00017692433096930954,5.9120126409111683e-05,-2.1089802273979903e-05,-0.001350771084807214,-0.0003674558491657861
32,2007-07-17,-0.003071037106252279,0.004094060869036719,0.00045808630524195364,-0.0020260921926478622,-0.0017462900125928959,0.0003082376666112066,-0.004378618906950071
33,2007-07-18,-0.0018843496516705097,0.0029422310732240497,0.002967315578643051,-0.0015561918722648278,-0.00020817223259240233,0.0012486015435414408,-0.0023406258883691662
