,Ticker,Name,Währung,Börse,Sektor,Branche
87,ARE,"Alexandria Real Estate Equities, Inc.",USD,NYQ,Real Estate,REIT - Office
88,ARG,N/A,N/A,YHD,N/A,N/A
89,ARNC,N/A,N/A,N/A,N/A,N/A
90,AS,"Amer Sports, Inc.",USD,NYQ,Consumer Cyclical,Leisure
91,ASC,Ardmore Shipping Corporation,USD,NYQ,Industrials,Marine Shipping
92,ASH,Ashland Inc.,USD,NYQ,Basic Materials,Specialty Chemicals
93,ASN,N/A,N/A,YHD,N/A,N/A
94,ASND,Ascendis Pharma A/S,USD,NMS,Healthcare,Biotechnology
95,ASO,"Academy Sports and Outdoors, Inc.",USD,NMS,Consumer Cyclical,Specialty Retail
96,AT,N/A,N/A,N/A,N/A,N/A
97,ATGE,Adtalem Global Education Inc.,USD,NYQ,Consumer Defensive,Education & Training Services
98,ATI,ATI Inc.,USD,NYQ,Industrials,Metal Fabrication
99,ATO,Atmos Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Gas
100,ATVI,N/A,N/A,N/A,N/A,N/A
101,AV,N/A,N/A,YHD,N/A,N/A
102,AVB,"AvalonBay Communities, Inc.",USD,NYQ,Real Estate,REIT - Residential
103,AVGO,Broadcom Inc.,USD,NMS,Technology,Semiconductors
104,AVP,N/A,N/A,N/A,N/A,N/A
105,AVY,Avery Dennison Corporation,USD,NYQ,Consumer Cyclical,Packaging & Containers
106,AW,N/A,N/A,YHD,N/A,N/A
107,AWE,N/A,N/A,YHD,N/A,N/A
108,AWK,"American Water Works Company, Inc.",USD,NYQ,Utilities,Utilities - Regulated Water
109,AXON,"Axon Enterprise, Inc.",USD,NMS,Industrials,Aerospace & Defense
110,AXP,American Express Company,USD,NYQ,Financial Services,Credit Services
111,AYE,N/A,N/A,YHD,N/A,N/A
112,AYI,Acuity Inc.,USD,NYQ,Industrials,Electrical Equipment & Parts
113,AZA.A,N/A,N/A,N/A,N/A,N/A
114,AZO,"AutoZone, Inc.",USD,NYQ,Consumer Cyclical,Auto Parts
115,BA,The Boeing Company,USD,NYQ,Industrials,Aerospace & Defense
116,BAC,Bank of America Corporation,USD,NYQ,Financial Services,Banks - Diversified
117,BALL,Ball Corporation,USD,NYQ,Consumer Cyclical,Packaging & Containers
118,BAX,Baxter International Inc.,USD,NYQ,Healthcare,Medical Instruments & Supplies
119,BAY,N/A,N/A,YHD,N/A,N/A
120,BBBY,"Bed Bath & Beyond, Inc.",USD,NYQ,N/A,N/A
121,BBI,N/A,N/A,N/A,N/A,N/A
122,BBT,"Brookline Bancorp, Inc.",USD,NYQ,Financial Services,Banks - Regional
123,BBWI,"Bath & Body Works, Inc.",USD,NYQ,Consumer Cyclical,Specialty Retail
124,BBY,"Best Buy Co., Inc.",USD,NYQ,Consumer Cyclical,Specialty Retail
125,BC,Brunswick Corporation,USD,NYQ,Consumer Cyclical,Recreational Vehicles
126,BCO,The Brink's Company,USD,NYQ,Industrials,Security & Protection Services
127,BCR,N/A,N/A,YHD,N/A,N/A
128,BDK,N/A,N/A,YHD,N/A,N/A
129,BDX,"Becton, Dickinson and Company",USD,NYQ,Healthcare,Medical Instruments & Supplies
130,BEAM,Beam Therapeutics Inc.,USD,NMS,Healthcare,Biotechnology
131,BEN,"Franklin Resources, Inc.",USD,NYQ,Financial Services,Asset Management
132,BEV,N/A,N/A,YHD,N/A,N/A
133,BF.B,N/A,N/A,YHD,N/A,N/A
134,BFI,N/A,N/A,N/A,N/A,N/A
135,BFO,N/A,N/A,N/A,N/A,N/A
136,BG,Bunge Global SA,USD,NYQ,Consumer Defensive,Farm Products
137,BGEN,N/A,N/A,YHD,N/A,N/A
138,BGG,N/A,N/A,N/A,N/A,N/A
139,BHF,"Brighthouse Financial, Inc.",USD,NMS,Financial Services,Insurance - Life
140,BHGE,N/A,N/A,N/A,N/A,N/A
141,BHMSQ,N/A,N/A,YHD,N/A,N/A
142,BIG,N/A,N/A,N/A,N/A,N/A
143,BIIB,Biogen Inc.,USD,NMS,Healthcare,Drug Manufacturers - General
