;Ticker;Name;Währung;Börse;Sektor;Branche
148;MTN.JO;MTN Group Limited;ZAc;JNB;Communication Services;Telecom Services
149;MTNZF.JO;MTN Zakhele Futhi (RF) Limited;ZAc;JNB;Financial Services;Shell Companies
150;MCG.JO;MultiChoice Group Limited;ZAc;JNB;Communication Services;Entertainment
151;MUR.JO;Murray & Roberts Holdings Limited;ZAc;JNB;Industrials;Engineering & Construction
152;MST.JO;Mustek Limited;ZAc;JNB;Technology;Computer Hardware
153;NPK.JO;Nampak Limited;ZAc;JNB;Consumer Cyclical;Packaging & Containers
154;NPN.JO;Naspers Limited;ZAc;JNB;Consumer Cyclical;Internet Retail
155;NED.JO;Nedbank Group Limited;ZAc;JNB;Financial Services;Banks - Regional
156;NRP.JO;NEPI Rockcastle N.V.;ZAc;JNB;Real Estate;Real Estate - Diversified
157;NT1.JO;N/A;N/A;N/A;N/A;N/A
158;NTC.JO;Netcare Limited;ZAc;JNB;Healthcare;Medical Care Facilities
159;NRL.JO;Newpark REIT Limited;ZAc;JNB;Real Estate;REIT - Diversified
160;NCS.JO;Nictus Limited;ZAc;JNB;Consumer Cyclical;Specialty Retail
161;NY1.JO;Ninety One Group;ZAc;JNB;Financial Services;Asset Management
162;N91.JO;Ninety One Group;ZAc;JNB;Financial Services;Asset Management
163;NPH.JO;Northam Platinum Holdings Limited;ZAc;JNB;Basic Materials;Other Precious Metals & Mining
164;NHM.JO;N/A;N/A;N/A;N/A;N/A
165;NVS.JO;Novus Holdings Limited;ZAc;JNB;Industrials;Specialty Business Services
166;NWL.JO;Nu-World Holdings Limited;ZAc;JNB;Technology;Consumer Electronics
167;OAO.JO;Oando PLC;ZAc;JNB;Energy;Oil & Gas Refining & Marketing
168;OAS.JO;Oasis Crescent Property Fund;ZAc;JNB;Real Estate;REIT - Diversified
169;OCE.JO;Oceana Group Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
170;OCT.JO;Octodec Investments Limited;ZAc;JNB;Real Estate;REIT - Diversified
171;OMU.JO;Old Mutual Limited;ZAc;JNB;Financial Services;Financial Conglomerates
172;OMN.JO;Omnia Holdings Limited;ZAc;JNB;Industrials;Conglomerates
173;ORN.JO;Orion Minerals Limited;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
174;OUT.JO;OUTsurance Group Limited;ZAc;JNB;Financial Services;Insurance - Diversified
175;PAN.JO;Pan African Resources PLC;ZAc;JNB;Basic Materials;Gold
176;PBG.JO;PBT Group Limited;ZAc;JNB;Technology;Information Technology Services
177;PPH.JO;Pepkor Holdings Limited;ZAc;JNB;Consumer Cyclical;Department Stores
178;PIK.JO;Pick n Pay Stores Limited;ZAc;JNB;Consumer Cyclical;Department Stores
179;PPC.JO;PPC Ltd;ZAc;JNB;Basic Materials;Building Materials
180;PMR.JO;Premier Group Limited;ZAc;JNB;Consumer Defensive;Grocery Stores
181;PMV.JO;Primeserv Group Limited;ZAc;JNB;Industrials;Staffing & Employment Services
182;PRX.JO;Prosus N.V.;ZAc;JNB;Communication Services;Internet Content & Information
183;KST.JO;PSG Financial Services Limited;ZAc;JNB;Financial Services;Asset Management
184;PSV.JO;PSV Holdings Limited;ZAc;JNB;N/A;N/A
185;PPE.JO;Purple Group Limited;ZAc;JNB;Financial Services;Financial Conglomerates
186;PPR.JO;Putprop Limited;ZAc;JNB;Real Estate;Real Estate Services
187;QFH.JO;Quantum Foods Holdings Ltd;ZAc;JNB;Consumer Defensive;Farm Products
188;QLT.JO;Quilter plc;ZAc;JNB;Financial Services;Asset Management
189;RBO.JO;Rainbow Chicken Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
190;RMI.JO;N/A;N/A;N/A;N/A;N/A
191;RNG.JO;Randgold & Exploration Company Limited;ZAc;JNB;Basic Materials;Gold
192;RBX.JO;Raubex Group Limited;ZAc;JNB;Industrials;Engineering & Construction
193;RCL.JO;RCL Foods Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
194;REA.JO;Rebosis Property Fund Limited;ZAc;JNB;Real Estate;REIT - Diversified
195;REB.JO;Rebosis Property Fund Limited;ZAc;JNB;Real Estate;REIT - Diversified
196;RDF.JO;Redefine Properties Limited;ZAc;JNB;Real Estate;REIT - Diversified
197;RNI.JO;Reinet Investments S.C.A.;ZAc;JNB;Financial Services;Asset Management
198;REM.JO;Remgro Limited;ZAc;JNB;Financial Services;Asset Management
199;REN.JO;Renergen Limited;ZAc;JNB;Energy;Oil & Gas E&P
200;RES.JO;Resilient REIT Limited;ZAc;JNB;Real Estate;REIT - Retail
201;RLO.JO;Reunert Limited;ZAc;JNB;Industrials;Electrical Equipment & Parts
202;RTN.JO;Rex Trueform Group Limited;ZAc;JNB;Consumer Cyclical;Apparel Retail
203;RTO.JO;Rex Trueform Group Limited;ZAc;JNB;Consumer Cyclical;Apparel Retail
204;RFG.JO;RFG Holdings Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
205;RHB.JO;RH Bophelo Limited;ZAc;JNB;Healthcare;Medical Care Facilities
206;RMH.JO;RMB Holdings Limited;ZAc;JNB;Financial Services;Banks - Regional
207;SAC.JO;SA Corporate Real Estate Limited;ZAc;JNB;Real Estate;REIT - Diversified
208;SBP.JO;Sabvest Capital Limited;ZAc;JNB;Financial Services;Asset Management
209;SAR.JO;Safari Investments RSA Limited;ZAc;JNB;Real Estate;REIT - Diversified
210;SLM.JO;Sanlam Limited;ZAc;JNB;Financial Services;Insurance - Life
211;SNT.JO;Santam Ltd;ZAc;JNB;Financial Services;Insurance - Specialty
212;SNV.JO;Santova Limited;ZAc;JNB;Industrials;Integrated Freight & Logistics
213;SAP.JO;Sappi Limited;ZAc;JNB;Basic Materials;Paper & Paper Products
214;SOLBE1.JO;Sasol Limited;ZAc;JNB;Basic Materials;Specialty Chemicals
215;SOL.JO;Sasol Limited;ZAc;JNB;Basic Materials;Specialty Chemicals
216;SCD.JO;Schroder European Real Estate Inv Trust;ZAc;JNB;N/A;N/A
217;SHG.JO;Sea Harvest Group Limited;ZAc;JNB;Consumer Defensive;Farm Products
218;SEB.JO;Sebata Holdings Limited;ZAc;JNB;Technology;Software - Application
219;SEP.JO;Sephaku Holdings Limited;ZAc;JNB;Basic Materials;Building Materials
