,Ticker,Name,Währung,Börse,Sektor,Branche
86,APO,"Apollo Global Management, Inc.",USD,NYQ,Financial Services,Asset Management
87,APOL,N/A,N/A,YHD,N/A,N/A
88,APTV,Aptiv PLC,USD,NYQ,Consumer Cyclical,Auto Parts
89,AR,Antero Resources Corporation,USD,NYQ,Energy,Oil & Gas E&P
90,ARC,N/A,N/A,N/A,N/A,N/A
91,ARE,"Alexandria Real Estate Equities, Inc.",USD,NYQ,Real Estate,REIT - Office
92,ARG,N/A,N/A,YHD,N/A,N/A
93,ARNC,N/A,N/A,N/A,N/A,N/A
94,AS,"Amer Sports, Inc.",USD,NYQ,Consumer Cyclical,Leisure
95,ASC,Ardmore Shipping Corporation,USD,NYQ,Industrials,Marine Shipping
96,ASH,Ashland Inc.,USD,NYQ,Basic Materials,Specialty Chemicals
97,ASN,N/A,N/A,YHD,N/A,N/A
98,ASND,Ascendis Pharma A/S,USD,NMS,Healthcare,Biotechnology
99,ASO,"Academy Sports and Outdoors, Inc.",USD,NMS,Consumer Cyclical,Specialty Retail
100,AT,N/A,N/A,N/A,N/A,N/A
101,ATGE,Adtalem Global Education Inc.,USD,NYQ,Consumer Defensive,Education & Training Services
102,ATI,ATI Inc.,USD,NYQ,Industrials,Metal Fabrication
103,ATO,Atmos Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Gas
104,ATVI,N/A,N/A,N/A,N/A,N/A
105,AV,N/A,N/A,YHD,N/A,N/A
106,AVB,"AvalonBay Communities, Inc.",USD,NYQ,Real Estate,REIT - Residential
107,AVGO,Broadcom Inc.,USD,NMS,Technology,Semiconductors
108,AVP,N/A,N/A,N/A,N/A,N/A
109,AVY,Avery Dennison Corporation,USD,NYQ,Consumer Cyclical,Packaging & Containers
110,AW,N/A,N/A,YHD,N/A,N/A
111,AWE,N/A,N/A,YHD,N/A,N/A
112,AWK,"American Water Works Company, Inc.",USD,NYQ,Utilities,Utilities - Regulated Water
113,AXON,"Axon Enterprise, Inc.",USD,NMS,Industrials,Aerospace & Defense
114,AXP,American Express Company,USD,NYQ,Financial Services,Credit Services
115,AYE,N/A,N/A,YHD,N/A,N/A
116,AYI,Acuity Inc.,USD,NYQ,Industrials,Electrical Equipment & Parts
117,AZA.A,N/A,N/A,N/A,N/A,N/A
118,AZO,"AutoZone, Inc.",USD,NYQ,Consumer Cyclical,Auto Parts
119,BA,The Boeing Company,USD,NYQ,Industrials,Aerospace & Defense
120,BAC,Bank of America Corporation,USD,NYQ,Financial Services,Banks - Diversified
121,BALL,Ball Corporation,USD,NYQ,Consumer Cyclical,Packaging & Containers
